Samsat Banda Aceh;0800002
Samsat Sigli;0800004
Samsat Sabang;0800006
Samsat Aceh Besar;0800008
Samsat Online Banda Aceh;0800010
Samsat Keliling Banda Aceh;0800019
Samsat Keliling Pidie Jaya;0800020
Loket Drive Thru Banda Aceh;0800021
Samsat Gampong Meureudu;0800022
Samsat Mall Pelayanan Publik Banda Aceh;0800025
Samsat Gampong Lam Lo;0800027
Samsat Digital Nasional Aceh;0800098
Samsat Langsa;0800102
Samsat Kutacane;0800104
Samsat Aceh Tamiang;0800106
Samsat Aceh Timur;0800108
Samsat Gayo Luwes;0800110
Samsat Mpp Langsa;0800124
Samsat Lhokseumawe;0800202
Samsat Takengon;0800204
Samsat Bireun;0800206
Samsat B.Meriah;0800208
Samsat Aceh Utara;0800210
Samsat Jempol Aceh Lhokseumawe;0800224
Samsat Keliling Bireun;0800225
Samsat Keliling Takengon;0800226
Samsat Keliling Lhokseumawe;0800227
Samsat Keliling Bener Meriah;0800228
Samsat Meulaboh;0800302
Samsat Tapaktuan;0800304
Samsat Singkil;0800306
Samsat A.Barat Daya;0800308
Samsat Nagan Raya;0800310
Samsat Sinabang;0800312
Samsat Aceh Jaya;0800314
Loket Samsat Gampong Subulussalam;0800331
Samsat Jempol Aceh Barat;0800332
Samsat Keliling Nagan Raya;0800333
Samsat Mpp Meulaboh;0800334
;
;
